temperature,humidity,rainfall,soil_quality,fertilizer,crop_yield
32.8,48.1,338.3,5.43,118.5,42.33
25.1,74.8,334.5,3.72,159.3,53.12
34.7,81.0,131.1,5.11,6.6,34.85
31.0,45.0,64.7,8.65,39.2,51.63
17.2,37.6,171.5,6.45,95.6,46.9
37.4,61.4,112.9,4.2,66.4,31.36
32.5,81.4,208.3,5.19,102.0,55.19
33.1,74.0,441.7,9.68,93.8,52.86
17.9,77.1,122.4,6.02,126.1,50.03
25.4,59.2,177.5,6.09,11.3,63.33
23.5,49.1,340.0,4.07,70.5,46.72
36.3,66.9,253.7,5.13,137.6,42.9
29.8,47.3,67.6,8.7,58.0,54.32
33.9,78.6,114.7,8.5,80.6,47.93
25.2,46.8,424.1,6.05,3.5,49.16
20.2,52.5,91.3,9.26,35.9,57.13
27.8,65.4,304.0,5.66,74.2,53.23
16.5,64.2,366.9,9.05,63.8,47.2
34.0,71.1,156.2,3.22,114.3,39.21
29.5,61.2,340.0,5.43,97.9,55.66
32.4,90.2,118.0,8.99,140.8,54.11
23.2,85.4,163.9,9.31,136.8,70.71
37.3,87.7,174.7,8.29,38.6,48.82
35.5,72.8,448.6,7.69,2.8,35.64
32.9,73.1,135.8,8.71,136.7,61.45
19.5,71.6,101.7,7.95,52.7,50.26
25.7,61.1,420.3,4.78,55.5,52.67
16.0,54.3,114.8,6.26,25.3,36.57
18.5,70.5,401.7,7.62,110.9,50.81
30.7,36.5,310.2,7.11,44.8,50.71
32.1,35.4,280.7,9.2,28.3,49.79
37.3,86.1,350.5,6.32,80.5,40.55
22.5,37.8,340.4,4.25,120.1,52.37
23.5,66.5,94.2,4.5,43.1,48.25
25.8,71.9,449.8,8.92,115.5,71.59
19.4,46.9,426.8,3.06,73.9,44.09
18.0,88.7,408.6,9.08,64.6,49.41
25.9,46.4,298.9,3.39,57.5,50.35
20.2,88.1,259.1,5.74,23.3,42.82
30.4,80.8,264.5,8.6,53.2,54.05
25.1,49.4,56.0,5.85,140.7,58.15
34.2,44.0,249.8,8.76,16.3,37.88
31.1,54.0,299.5,3.7,153.3,51.04
22.2,58.9,313.5,6.58,17.2,52.82
34.1,49.7,182.9,7.08,57.9,49.01
33.5,94.9,238.5,9.24,97.0,55.93
23.9,48.8,304.5,3.66,134.1,52.6
21.6,84.8,221.3,5.37,23.0,53.81
30.7,44.5,434.9,7.62,22.6,50.26
18.2,93.8,332.2,9.86,100.5,45.83
19.6,48.5,50.5,8.94,46.8,49.77
15.2,60.3,59.3,8.93,103.1,46.36
33.1,68.5,326.1,6.62,131.3,48.62
30.3,42.2,215.1,6.95,12.3,54.88
31.2,84.0,385.8,9.01,135.1,58.04
33.0,51.5,119.2,9.09,6.0,48.32
25.6,68.0,55.5,8.62,143.8,66.99
28.1,68.0,205.2,8.73,156.1,77.59
18.2,71.2,344.4,9.16,106.8,58.89
